金属材料专业质量管理人员,4-6千
保安队长（基层管理人员）,6-8千
酒店管理人员,7.5-9.5千
生产管理人员（配方颗粒）,3-6千
食堂管理人员,8千-1万
居家养老服务站点管理人员,4-5千
酒店管理人员,7.5-9.5千
医院管理人员,2-4万
高级教育管理人员（海外项目）,2-4万
生产车间管理人员,5-8千
酒店管理人员,7.5-9.5千
实验室管理人员,5千-1万
资深顾问-返聘保险业高级管理人员,1.5-3万
实验动物管理人员,10-20万/年
酒店管理人员,7.5-9.5千
安全管理人员,4.5-6千
高级教育管理人员（海外项目）,2-4万
高级财务管理人员,15-30万/年
储备管理人员,5-6千·13薪
停车场收费管理人员,3千及以下
工程管理人员,7-7.4千
湖北楚禹公司—财务审计管理人员,1.5-2万
飞行安全管理人员,1-1.8万
高级财务管理人员,15-30万/年
生产管理人员,1.5-1.8万
马来西亚新厂管理人员,9千-1.8万·16薪
门店营业员（储备运营管理人员方向）,6-8万/年
高级财务管理人员,15-30万/年
生产管理人员,1.5-1.8万
安全管理人员,6千-1万
医药技术研发管理人员,30-40万/年
高级财务管理人员,15-30万/年
管理人员,1.5-3万·13薪
电力管理人员,7-7.4千
认证项目管理人员,4-5千
储备管理人员,2-3万
电仪专业技术管理人员,6-8千
注塑车间-车间管理人员（镇江丹阳）,6千-1万
物业设施管理人员,6-7千·13薪
销售部管理人员,8千-1.2万
中药材基地管理人员,4-7千
物业维修管理人员,4.5-5.5千
法务管理人员,1-1.7万
草铵膦生产管理人员,1.2-2.4万
高级财务管理人员,6千-1.2万·13薪
物业管理人员（见习）,5.5-5.7千
实验室安全管理人员,1.5-3万
仓库主管、仓库管理人员,4.5-5.5千
（臣捷公司）水利工程管理人员,8-15万/年
数据管理人员,5-6.5千
药企技术管理人员,6-8千
高速公路养护项目管理人员,9千-1.3万
外发管理人员,5-7千·13薪
车间管理人员,8千-1.2万
医疗器械质量管理人员,4-6千
高速公路养护项目管理人员,9千-1.3万
项目管理人员,5千-1万
大型仪器设备平台管理人员（电镜方向）,1.5-3万
路产养护负责人/管理人员,5-8千
车间管理人员（绍兴嵊州子公司）,6-9千
污水池管理人员,4.5-6.5千
大型仪器设备平台管理人员（质谱方向）,1.5-3万
路产安全负责人/管理人员,5-8千
IT管理人员,6千-1万
养护带班人员,5-6.5千
西餐厅管理人员,5-6千
大型仪器设备平台管理人员（核磁方向）,1.5-3万
车间管理人员,8千-1.2万
质量管理人员,5-8千
酒店储备管理人员,5千-1万
员工食堂厨师（退休人员）,5.5-6千
质量管理人员,1.5-1.8万
海运集装箱管理人员,5-7千·13薪
生产管理人员,6-7千
物业客服人员,6.5-7千
质量管理人员,1.5-1.8万
项目经理（ITO驻场人员管理）,8-9千
车间管理人员,5.5-6.5千
销售人员-农产品,4.5-9千
现场管理人员,8千-1.3万
安全管理人员,6千-1万
网络管理人员,4-8千
